age_range,industry,job_title,annual_salary,"How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Please only include monetary compensation here, not the value of benefits.",currency,"If ""Other,"" please indicate the currency here: ",country,"If you're in the U.S., what state do you work in?",What city do you work in?,current_years_experience,How many years of professional work experience do you have in your field?,education,gender,What is your race? (Choose all that apply.)
25-34,Nonprofit,Manager (General),52000,0.0,USD,,United States,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Legal,Other,114000,9000.0,USD,,United States,District of Columbia,DC,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Nonprofit,Coordinator,50000,0.0,USD,,United States,Georgia,Atlanta,8 - 10 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
55-64,Information Technology,Writer/Editor,126000,3000.0,USD,,United States,Massachusetts,Cambridge,31 - 40 years,31 - 40 years,Some college,Woman,White
35-44,Information Technology,Customer Service,68000,,USD,,United States,Washington,Seattle,8 - 10 years,2 - 4 years,College degree,Prefer not to answer,"Asian or Asian American, White"
55-64,Education,Other,35000,0.0,USD,,United States,Florida,Melbourne,11 - 20 years,2 - 4 years,Some college,Woman,White
35-44,Government,Director,130000,1000.0,USD,,United States,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Nonprofit,Project Manager,65100,3000.0,USD,,United States,North Carolina,Chapel Hill,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing,Analyst (General),77000,,CAD,,Canada,,"Montreal, QC",8 - 10 years,8 - 10 years,PhD,Man,White
25-34,Government,Other,70000,,USD,,United States,Minnesota,Minneapolis,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Health,Director,130000,5000.0,USD,,United States,Ohio,Cleveland,8 - 10 years,8 - 10 years,PhD,Woman,Asian or Asian American
45-54,Finance,Other,85000,25000.0,USD,,United States,California,Los Angeles,21 - 30 years,11 - 20 years,Some college,Woman,Another option not listed here or prefer not to answer
25-34,Health,Supervisor,33280,,USD,,United States,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Government,Librarian,38257,0.0,USD,,United States,South Carolina,Rock Hill,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Government,Analyst (General),145000,4000.0,USD,,United States,Michigan,Ann Arbor,21 - 30 years,8 - 10 years,Master's degree,Woman,White
35-44,Government,Other,117000,0.0,USD,,United States,North Carolina,Raleigh,5-7 years,5-7 years,PhD,Woman,White
45-54,Engineering/Manufacturing,Engineer (Non-software),161200,9000.0,USD,,United States,Washington,Seattle,21 - 30 years,21 - 30 years,PhD,Woman,White
25-34,Information Technology,Consultant,70000,4500.0,GBP,,United Kingdom,,Manchester,8 - 10 years,5-7 years,College degree,Woman,White
45-54,Legal,Other,82500,1800.0,USD,,United States,Tennessee,Nashville,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education,Other,74500,,USD,,United States,Arizona,Phoenix,11 - 20 years,8 - 10 years,High School,Man,"Hispanic, Latino, or Spanish origin"
25-34,Engineering/Manufacturing,Accountant,45000,1500.0,USD,,United States,Kansas,Wichita,5-7 years,2 - 4 years,College degree,Woman,White
18-24,Marketing,Social Media,41000,0.0,USD,,United States,Virginia,Norfolk,2 - 4 years,2 - 4 years,College degree,Woman,"White, Another option not listed here or prefer not to answer"
25-34,Government,Other,58075,0.0,USD,,United States,Montana,Helena,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Engineering/Manufacturing,Other,99000,15000.0,USD,,United States,Massachusetts,Andover,5-7 years,8 - 10 years,Master's degree,Woman,Black or African American
35-44,Engineering/Manufacturing,Coordinator,14000,,EUR,,Other,,Athens,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Marketing,VP/Senior Leadership,210000,28000.0,USD,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Engineering/Manufacturing,Other,58000,5000.0,USD,,United States,Minnesota,Minneapolis,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Other,Manager (General),84500,3000.0,USD,,United States,Arizona,Phoenix,11 - 20 years,11 - 20 years,College degree,Woman,White
18-24,Information Technology,Software Engineer,140000,0.0,USD,,United States,Pennsylvania,Pittsburgh ,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Legal,Other,70000,0.0,USD,,United States,Virginia,Norfolk,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,Engineering/Manufacturing,Office Manager,29640,0.0,USD,,United States,Pennsylvania,Nanticoke,41 years or more,31 - 40 years,College degree,Woman,White
65 or over,Other,Other,27000,630.0,USD,,United States,California,Santa Cruz,31 - 40 years,8 - 10 years,College degree,Woman,White
55-64,Health,Other,66500,9000.0,USD,,United States,Massachusetts,Marlborough,31 - 40 years,21 - 30 years,College degree,Woman,White
25-34,Legal,Other,33000,,USD,,United States,Florida,Plantation ,2 - 4 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Education,Other,48062,0.0,USD,,United States,Texas,Houston,5-7 years,5-7 years,Master's degree,Man,White
18-24,Finance,Auditor,65547,,CAD,,Canada,,Montreal,2 - 4 years,1 year or less,College degree,Woman,White
45-54,Information Technology,Other,162400,,USD,,United States,Virginia,Falls Church,21 - 30 years,21 - 30 years,Master's degree,Woman,White
35-44,Agriculture,Controller,105000,15000.0,USD,,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Legal,Other,73000,2500.0,USD,,United States,Ohio,Beachwood,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Education,Other,100000,70000.0,USD,,United States,Illinois,Chicago Suburbs,11 - 20 years,8 - 10 years,Master's degree,Man,White
25-34,Finance,Accountant,89000,,USD,,United States,Washington,Seattle,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Nonprofit,Manager (General),73000,0.0,USD,,United States,New York,Manhattan ,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Information Technology,Product Manager,140000,14000.0,USD,,United States,Colorado,Colorado Springs,11 - 20 years,5-7 years,College degree,Man,White
45-54,Business/Consulting,Executive Assistant,73500,1500.0,USD,,United States,California,Los Angeles,11 - 20 years,11 - 20 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Business/Consulting,Consultant,107300,8000.0,USD,,United States,Arizona,Phoenix,5-7 years,5-7 years,College degree,Woman,White
35-44,Education,Other,77000,,USD,,United States,Colorado,Greeley,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing,Other,75000,10000.0,USD,,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Health,Director,138800,15000.0,USD,,United States,Pennsylvania,Pittsburgh ,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Business/Consulting,Director,165000,80000.0,USD,,United States,Florida,,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Insurance,Manager (General),134000,20000.0,USD,,United States,North Carolina,Raleigh,21 - 30 years,5-7 years,Master's degree,Woman,White
45-54,Legal,Other,42000,300.0,CAD,,Canada,,Vancouver,11 - 20 years,11 - 20 years,High School,Woman,White
45-54,Information Technology,Manager (General),78000,6000.0,USD,,United States,Pennsylvania,Philadelphia,31 - 40 years,21 - 30 years,Master's degree,Woman,White
25-34,Nonprofit,Other,52000,400.0,CAD,,Canada,,Halifax,8 - 10 years,2 - 4 years,Master's degree,Woman,White
45-54,Education,Director,115000,,USD,,United States,California,"SoCal, prefer not to specify",21 - 30 years,11 - 20 years,PhD,Woman,White
35-44,Nonprofit,Office Manager,41600,0.0,USD,,United States,California,San Diego,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Government,Director,90000,,USD,,United States,Massachusetts,Quincy,8 - 10 years,5-7 years,Master's degree,Woman,White
18-24,Other,Other,60000,35000.0,USD,,United States,District of Columbia,DC,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Finance,VP/Senior Leadership,230000,241500.0,USD,,United States,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofit,Office Manager,34000,0.0,USD,,United States,Oregon,Beaverton,5-7 years,5-7 years,Some college,Woman,White
35-44,Retail/Sales,Analyst (General),36000,,USD,,United States,Texas,San Antonio ,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Business/Consulting,Director,130000,10000.0,USD,,United States,Ohio,Cleveland,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Education,Other,71000,0.0,USD,,United States,Nevada,Reno,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Marketing,Other,50000,,USD,,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Some college,Woman,Black or African American
25-34,Government,Director,102000,0.0,USD,,United States,New York,New York,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Education,Teacher,55000,2000.0,USD,,United States,California,Sacramento ,21 - 30 years,21 - 30 years,College degree,Woman,Asian or Asian American
35-44,Business/Consulting,Other,108000,3000.0,USD,,United States,Minnesota,St. Paul,11 - 20 years,8 - 10 years,Master's degree,Man,White
25-34,Finance,Manager (General),87000,,USD,,United States,Texas,Austin metro area,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Finance,Manager (General),140000,10000.0,USD,,United States,New Jersey,Florham Park,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Nonprofit,Supervisor,38000,0.0,USD,,United States,New Jersey,Elizabeth ,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Health,Other,100000,500.0,USD,,United States,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Director,52000,,USD,,United States,Texas,Beaumont,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Analyst (General),79000,0.0,USD,,United States,District of Columbia,DC,5-7 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
35-44,Engineering/Manufacturing,Librarian,76997,,USD,,United States,Colorado,Golden,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Government,Other,99000,0.0,USD,,United States,Colorado,Denver,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Data Scientist/Analyst,82000,,USD,,United States,Alabama,Birmingham,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Nonprofit,Manager (General),50212,0.0,CAD,,Canada,,Moncton,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Teacher,101000,,CAD,,Canada,,Oakville,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Government,Other,85000,0.0,CAD,,Canada,,Toronto,8 - 10 years,5-7 years,Master's degree,Woman,"Black or African American, White"
35-44,Nonprofit,Director,60000,0.0,USD,,United States,Wisconsin,Brookfield,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Other,32000,,USD,,United States,Texas,Houston,2 - 4 years,5-7 years,College degree,Woman,White
35-44,Government,Supervisor,93000,0.0,USD,,United States,Minnesota,St. Paul,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Other,Manager (General),100006,50000.0,USD,,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,High School,Man,White
25-34,Health,Consultant,135000,,USD,,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofit,Other,43000,,USD,,United States,Maryland,Frederick,11 - 20 years,1 year or less,College degree,Woman,White
35-44,Marketing,Other,96000,5000.0,USD,,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Other,Controller,175000,0.0,USD,,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Engineering/Manufacturing,Engineer (Non-software),129000,20000.0,USD,,United States,California,Irvine,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Health,Other,49000,0.0,USD,,United States,Illinois,Central IL,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Information Technology,Other,150000,0.0,USD,,United States,Massachusetts,"Framingham, MA",11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Government,Other,106000,,USD,,United States,Maryland,Frederick,8 - 10 years,2 - 4 years,PhD,Woman,White
35-44,Biotech,Director,160000,40000.0,USD,,United States,Massachusetts,Boston,11 - 20 years,5-7 years,PhD,Woman,White
35-44,Marketing,Other,85000,1000.0,USD,,United States,Oregon,Portland,11 - 20 years,5-7 years,Master's degree,Man,White
25-34,Engineering/Manufacturing,Other,97200,9720.0,USD,,United States,New Jersey,Mahwah,5-7 years,5-7 years,College degree,Woman,White
25-34,Media/Entertainment,Other,60000,,USD,,United States,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Woman,White
45-54,Arts/Design,Other,67000,0.0,USD,,United States,District of Columbia,D.C.,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Nonprofit,Manager (General),72000,4000.0,USD,,United States,New York,New York,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Nonprofit,Director,125000,0.0,USD,,United States,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Nonprofit,Director,103000,11300.0,USD,,United States,District of Columbia,"Washington, D.C.",11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Government,Analyst (General),43500,200.0,USD,,United States,Kentucky,Fort Knox,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Health,Manager (General),75000,,USD,,United States,Florida,Orlando,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Business/Consulting,Manager (General),172500,6000.0,USD,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Biotech,Other,87000,7000.0,USD,,United States,Massachusetts,Boston,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Finance,Data Scientist/Analyst,70000,2000.0,USD,,United States,Ohio,Cincinnati,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Government,Other,112000,0.0,USD,,United States,District of Columbia,Washington,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Legal,Other,70000,0.0,USD,,United States,Illinois,Naperville,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,White
55-64,Other,Other,47840,2000.0,CAD,,Canada,,Edmonton,31 - 40 years,21 - 30 years,High School,Woman,White
25-34,Information Technology,Software Engineer,112200,,USD,,Other,New York,Rochester,5-7 years,5-7 years,Master's degree,Man,White
45-54,Legal,Other,44000,500.0,USD,,United States,North Carolina,Greensboro,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Health,Other,62500,1875.0,USD,,United States,Oregon,Portland,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Other,Director,90000,,USD,,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Man,White
35-44,Government,Marketing Manager,63000,,USD,,United States,Virginia,Richmond,11 - 20 years,8 - 10 years,College degree,Man,White
35-44,Health,Coordinator,49900,3000.0,USD,,Other,Texas,Houston,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Engineering/Manufacturing,Manager (General),80000,,USD,,United States,Massachusetts,Boston,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Information Technology,Director,122416,1200.0,USD,,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,Manager (General),88000,0.0,USD,,United States,New York,New York City,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Hospitality,Administrative Assistant,31200,0.0,USD,,United States,Nevada,Las Vegas,11 - 20 years,1 year or less,College degree,Woman,White
35-44,Nonprofit,Coordinator,77000,3000.0,USD,,United States,District of Columbia,Washington,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Government,Manager (General),100000,0.0,USD,,United States,Washington,Olympia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Government,Other,181000,,USD,,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education,Other,64000,0.0,USD,,United States,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Nonprofit,Director,62000,,USD,,United States,Idaho,Boise,11 - 20 years,8 - 10 years,College degree,Woman,White
55-64,Government,Other,125000,0.0,USD,,United States,New York,New York City,31 - 40 years,21 - 30 years,College degree,Woman,White
25-34,Government,Manager (General),83175,861.0,CAD,,Canada,,Regina (SK),5-7 years,5-7 years,College degree,Woman,White
25-34,Finance,Other,60000,0.0,GBP,,United Kingdom,,London,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Finance,Other,30000,10000.0,GBP,,United Kingdom,,London,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Legal,Other,103000,3000.0,USD,,United States,Maryland,Columbia,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Insurance,Other,51000,800.0,USD,,United States,Pennsylvania,Harrisburg,11 - 20 years,5-7 years,High School,Woman,White
45-54,Retail/Sales,Manager (General),68000,4000.0,USD,,United States,Oregon,Portland,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Government,Other,95000,0.0,USD,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Legal,Other,95000,0.0,USD,,United States,Minnesota,Bemidji,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Arts/Design,Director,72000,0.0,USD,,United States,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Government,Librarian,109000,,USD,,United States,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing,Project Manager,97500,2500.0,CAD,,Canada,,Ottawa,8 - 10 years,8 - 10 years,College degree,Man,White
45-54,Real Estate,Manager (General),200000,200000.0,USD,,United States,Texas,Houston,21 - 30 years,21 - 30 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin, White"
45-54,Government,Other,100000,0.0,USD,,United States,Illinois,Springfield,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Education,Director,40800,,USD,,United States,Indiana,"Evanston, IL",2 - 4 years,2 - 4 years,PhD,Woman,White
45-54,Education,Professor/Faculty,109366,,CAD,,Canada,,Sherbrooke,11 - 20 years,11 - 20 years,PhD,Woman,White
25-34,Health,Other,56400,,USD,,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Information Technology,Software Engineer,115000,0.0,USD,,United States,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Education,Director,77000,0.0,USD,,United States,Pennsylvania,York,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Information Technology,Other,140000,,USD,,United States,New York,Brooklyn,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Information Technology,DevOps/Cloud,82500,6000.0,CHF,,Other,,Lausanne,5-7 years,2 - 4 years,Master's degree,Woman,Middle Eastern or Northern African
25-34,Health,Data Scientist/Analyst,60000,0.0,CAD,,Canada,,Toronto,5-7 years,5-7 years,Master's degree,Man,Another option not listed here or prefer not to answer
35-44,Other,Director,125000,15000.0,USD,,United States,New York,Melville,21 - 30 years,21 - 30 years,College degree,Man,White
25-34,Transportation,Manager (General),95000,5000.0,USD,,United States,Texas,Houston,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Information Technology,Software Engineer,42640,410.0,USD,,United States,Wisconsin,Menomonie,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Legal,Coordinator,44000,2000.0,USD,,United States,Tennessee,Chattanooga,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Health,Director,70500,500.0,USD,,United States,Texas,Plano,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Government,Other,120000,,USD,,United States,Ohio,Dayton,11 - 20 years,11 - 20 years,Master's degree,Man,White
55-64,Government,Manager (General),109000,0.0,USD,,United States,California,Merced,31 - 40 years,31 - 40 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
18-24,Engineering/Manufacturing,Engineer (Non-software),75000,21000.0,USD,,United States,Florida,Cape Canaveral,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Legal,Other,63500,500.0,USD,,United States,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Woman,Black or African American
35-44,Government,Other,101000,0.0,USD,,United States,Virginia,Arlington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Education,Professor/Faculty,45000,10000.0,USD,,United States,Missouri,Rolla,11 - 20 years,11 - 20 years,PhD,Woman,White
35-44,Finance,Other,40000,0.0,USD,,United States,Tennessee,Nashville,5-7 years,5-7 years,College degree,Woman,White
25-34,Education,Director,77250,0.0,USD,,United States,California,Oakland,8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Real Estate,Other,60000,15000.0,USD,,United States,Colorado,Centennial,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Nonprofit,Writer/Editor,95000,2000.0,CAD,,Canada,,Ottawa,8 - 10 years,8 - 10 years,PhD,Woman,Asian or Asian American
35-44,Engineering/Manufacturing,Manager (General),159000,20000.0,USD,,United States,Oregon,Portland,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
25-34,Transportation,Other,63000,1200.0,USD,,United States,Georgia,Atlanta,5-7 years,5-7 years,College degree,Woman,White
35-44,Marketing,Director,68500,10000.0,USD,,United States,Tennessee,Nashville,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Engineering/Manufacturing,Manager (General),125000,20000.0,USD,,United States,North Carolina,-,21 - 30 years,21 - 30 years,Master's degree,Man,White
35-44,Marketing,VP/Senior Leadership,198000,5000.0,USD,,Other,California,Irvine,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Education,Other,56000,0.0,USD,,United States,Arizona,Tucson,11 - 20 years,2 - 4 years,Master's degree,Woman,White
25-34,Nonprofit,Project Manager,98000,0.0,USD,,United States,Oregon,Portland,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Education,Coordinator,48790,0.0,USD,,United States,North Carolina,Durham,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Professor/Faculty,75000,15000.0,USD,,United States,Mississippi,Not disclosed,5-7 years,5-7 years,PhD,Woman,White
35-44,Media/Entertainment,Director,140000,0.0,USD,,United States,District of Columbia,"Washington, D.C",11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Government,Other,75000,0.0,USD,,United States,Minnesota,St. Paul,11 - 20 years,11 - 20 years,College degree,Woman,White
55-64,Education,Teacher,97000,0.0,USD,,United States,Massachusetts,Marlborough MA,31 - 40 years,11 - 20 years,PhD,Woman,White
25-34,Nonprofit,Analyst (General),50000,0.0,USD,,United States,New York,New York,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Government,Librarian,52500,0.0,USD,,United States,Virginia,Richmond,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Marketing,Writer/Editor,60000,0.0,USD,,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Not Specified,"Asian or Asian American, White"
55-64,Information Technology,Writer/Editor,100000,,USD,,United States,Utah,Park City (remote/WFH),21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Marketing,Consultant,60000,,USD,,United States,Maryland,Gaithersburg,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Nonprofit,Other,50000,,USD,,United States,Massachusetts,Boston,5-7 years,2 - 4 years,College degree,Non-binary,White
25-34,Engineering/Manufacturing,Analyst (General),53000,,USD,,United States,Ohio,Dayton,8 - 10 years,8 - 10 years,Some college,Man,White
35-44,Government,Coordinator,117000,0.0,USD,,United States,Maryland,"Linthicum, MD",11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Other,Manager (General),83000,10000.0,USD,,United States,District of Columbia,Washington,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin, White"
45-54,Finance,Manager (General),220000,50000.0,USD,,United States,District of Columbia,Washington,21 - 30 years,21 - 30 years,High School,Man,"Hispanic, Latino, or Spanish origin"
35-44,Finance,Accountant,103000,7500.0,USD,,United States,Florida,Orlando,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Arts/Design,Other,72000,,USD,,United States,California,San Francisco,11 - 20 years,5-7 years,College degree,Man,White
35-44,Education,Director,85000,0.0,USD,,United States,Texas,Austin,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Health,Office Manager,52000,3000.0,USD,,United States,Illinois,Lake Zurich,21 - 30 years,21 - 30 years,High School,Woman,White
18-24,Other,Manager (General),47000,200.0,USD,,United States,District of Columbia,D.C.,1 year or less,1 year or less,College degree,Woman,White
25-34,Agriculture,Other,30000,6000.0,USD,,United States,Kentucky,Lexington,5-7 years,5-7 years,College degree,Woman,White
25-34,Education,Other,50000,0.0,USD,,United States,Connecticut,New Haven,8 - 10 years,8 - 10 years,PhD,Woman,White
25-34,Education,Other,30992,500.0,USD,,United States,Tennessee,Knoxville,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing,Director,135000,3000.0,USD,,United States,New York,New York,11 - 20 years,8 - 10 years,College degree,Man,White
35-44,Information Technology,Analyst (General),65000,4500.0,USD,,United States,Ohio,Columbus,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Finance,VP/Senior Leadership,135000,30000.0,USD,,United States,Georgia,Atlanta,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Marketing,Content/Copywriter,60000,0.0,USD,,United States,New York,Beacon,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Engineering/Manufacturing,Engineer (Non-software),58000,6000.0,USD,,United States,North Carolina,Raleigh (remote out of VA),2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Other,Writer/Editor,95000,0.0,USD,,United States,South Carolina,Charleston,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Real Estate,Manager (General),60000,,USD,,United States,Massachusetts,Boston,2 - 4 years,11 - 20 years,Master's degree,Woman,White
25-34,Retail/Sales,Manager (General),37500,3000.0,USD,,United States,New Jersey,Egg Harbor Township ,8 - 10 years,2 - 4 years,Some college,Non-binary,White
35-44,Finance,Bookkeeper,62500,6500.0,USD,,United States,Washington,seattle,11 - 20 years,5-7 years,Some college,Woman,White
25-34,Arts/Design,Manager (General),100000,20000.0,USD,,United States,New York,New York,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Health,Project Manager,65500,,USD,,United States,California,Fremont,8 - 10 years,5-7 years,Some college,Woman,White
25-34,Information Technology,Software Engineer,230000,500000.0,USD,,United States,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Man,White
35-44,Health,Other,53000,10000.0,USD,,United States,Georgia,Atlanta,8 - 10 years,5-7 years,Some college,Man,White
25-34,Health,Administrative Assistant,56000,500.0,USD,,United States,Washington,Seattle ,11 - 20 years,1 year or less,College degree,Woman,White
25-34,Nonprofit,Project Manager,75000,,USD,,United States,Washington,Seattle,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
45-54,Education,Other,60000,0.0,USD,,United States,Pennsylvania,Philadelphia ,21 - 30 years,21 - 30 years,PhD,Woman,White
35-44,Government,Other,83000,,USD,,United States,Massachusetts,Boston,11 - 20 years,8 - 10 years,College degree,Woman,Asian or Asian American
18-24,Business/Consulting,Analyst (General),66000,,USD,,United States,Virginia,Falls Church,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Health,Executive Assistant,89000,6000.0,USD,,United States,California,Oakland,11 - 20 years,11 - 20 years,College degree,Man,White
